"id"	"make"	"model"	"year"	"class"	"trans"	"drive"	"cyl"	"displ"	"fuel"	"hwy"	"cty"
"1"	1567	1	4	1985	28	17	7	4	2.5	8	22	19
"2"	1568	1	4	1985	28	12	7	6	4.3	8	20	15
"3"	1569	1	4	1985	28	17	7	6	4.3	8	17	15
"4"	1570	1	4	1985	28	18	7	6	4.3	8	19	15
"5"	923	1	4	1985	28	12	7	4	2.5	8	24	18
"6"	924	1	4	1985	28	17	7	4	2.5	8	24	19
"7"	925	1	4	1985	28	18	7	4	2.5	8	26	19
"8"	926	1	4	1985	28	12	7	6	4.3	8	22	16
"9"	927	1	4	1985	28	17	7	6	4.3	8	20	15
"10"	928	1	4	1985	28	18	7	6	4.3	8	23	16
"11"	2603	1	4	1986	28	12	7	4	2.5	8	24	18
"12"	2604	1	4	1986	28	17	7	4	2.5	8	24	18
"13"	2605	1	4	1986	28	18	7	4	2.5	8	26	20
"14"	2606	1	4	1986	28	12	7	6	4.3	8	20	15
"15"	2607	1	4	1986	28	17	7	6	4.3	8	20	16
"16"	2608	1	4	1986	28	18	7	6	4.3	8	22	16
"17"	3852	1	4	1987	28	12	7	4	2.5	8	22	17
"18"	3853	1	4	1987	28	17	7	4	2.5	8	23	18
"19"	3854	1	4	1987	28	18	7	4	2.5	8	24	19
"20"	3855	1	4	1987	28	12	7	6	4.3	8	20	15
"21"	3856	1	4	1987	28	18	7	6	4.3	8	22	15
"22"	5022	1	4	1988	28	12	7	4	2.5	8	23	18
"23"	5023	1	4	1988	28	18	7	4	2.5	8	26	19
"24"	5024	1	4	1988	28	12	7	6	4.3	8	20	15
"25"	5025	1	4	1988	28	18	7	6	4.3	8	22	15
"26"	6151	1	4	1989	28	12	7	4	2.5	8	23	17
"27"	6152	1	4	1989	28	18	7	4	2.5	8	24	18
"28"	6153	1	4	1989	28	12	7	6	4.3	8	20	15
"29"	6154	1	4	1989	28	18	7	6	4.3	8	22	15
"30"	7226	1	4	1990	28	12	7	4	2.5	8	23	17
"31"	7227	1	4	1990	28	18	7	4	2.5	8	24	18
"32"	7228	1	4	1990	28	12	7	6	4.3	8	20	15
"33"	8350	1	4	1991	28	12	7	6	4.3	8	20	15
"34"	9412	1	4	1992	28	12	7	6	4.3	8	20	15
"35"	9413	1	4	1992	28	12	7	6	4.3	8	21	15
"36"	10413	1	4	1993	28	12	7	6	4.3	6	21	15
"37"	10414	1	4	1993	28	12	7	6	4.3	8	20	15
"38"	11369	1	4	1994	28	12	7	6	4.3	8	20	15
"39"	11370	1	4	1994	28	12	7	6	4.3	6	20	15
