"id"	"make"	"model"	"year"	"class"	"trans"	"drive"	"cyl"	"displ"	"fuel"	"hwy"	"cty"
"1"	847	"Toyota"	"1-Ton Truck 2WD"	1985	"Standard Pickup Trucks"	"Automatic 4-spd"	"Rear-Wheel Drive"	4	2.4	"Regular"	23	20
"2"	848	"Toyota"	"1-Ton Truck 2WD"	1985	"Standard Pickup Trucks"	"Manual 5-spd"	"Rear-Wheel Drive"	4	2.4	"Regular"	24	19
"3"	2512	"Toyota"	"1-Ton Truck 2WD"	1986	"Standard Pickup Trucks"	"Automatic 4-spd"	"Rear-Wheel Drive"	4	2.4	"Regular"	23	20
"4"	2513	"Toyota"	"1-Ton Truck 2WD"	1986	"Standard Pickup Trucks"	"Manual 5-spd"	"Rear-Wheel Drive"	4	2.4	"Regular"	26	21
"5"	3758	"Toyota"	"1-Ton Truck 2WD"	1987	"Standard Pickup Trucks"	"Automatic 4-spd"	"Rear-Wheel Drive"	4	2.4	"Regular"	23	20
"6"	3759	"Toyota"	"1-Ton Truck 2WD"	1987	"Standard Pickup Trucks"	"Manual 5-spd"	"Rear-Wheel Drive"	4	2.4	"Regular"	26	21
"7"	4916	"Toyota"	"1-Ton Truck 2WD"	1988	"Standard Pickup Trucks"	"Automatic 4-spd"	"Rear-Wheel Drive"	4	2.4	"Regular"	22	19
"8"	4917	"Toyota"	"1-Ton Truck 2WD"	1988	"Standard Pickup Trucks"	"Manual 5-spd"	"Rear-Wheel Drive"	4	2.4	"Regular"	20	17
"9"	6051	"Toyota"	"1-Ton Truck 2WD"	1989	"Standard Pickup Trucks"	"Automatic 4-spd"	"Rear-Wheel Drive"	6	3	"Regular"	23	17
"10"	6052	"Toyota"	"1-Ton Truck 2WD"	1989	"Standard Pickup Trucks"	"Manual 5-spd"	"Rear-Wheel Drive"	6	3	"Regular"	22	17
"11"	7119	"Toyota"	"1-Ton Truck 2WD"	1990	"Standard Pickup Trucks"	"Automatic 4-spd"	"Rear-Wheel Drive"	6	3	"Regular"	22	16
"12"	7120	"Toyota"	"1-Ton Truck 2WD"	1990	"Standard Pickup Trucks"	"Manual 5-spd"	"Rear-Wheel Drive"	6	3	"Regular"	22	17
"13"	8247	"Toyota"	"1-Ton Truck 2WD"	1991	"Standard Pickup Trucks"	"Automatic 4-spd"	"Rear-Wheel Drive"	6	3	"Regular"	21	16
"14"	8248	"Toyota"	"1-Ton Truck 2WD"	1991	"Standard Pickup Trucks"	"Manual 5-spd"	"Rear-Wheel Drive"	6	3	"Regular"	22	16
"15"	9317	"Toyota"	"1-Ton Truck 2WD"	1992	"Standard Pickup Trucks"	"Automatic 4-spd"	"Rear-Wheel Drive"	6	3	"Regular"	21	16
"16"	9318	"Toyota"	"1-Ton Truck 2WD"	1992	"Standard Pickup Trucks"	"Manual 5-spd"	"Rear-Wheel Drive"	6	3	"Regular"	22	16
"17"	7351	"Toyota"	"4Runner 2WD"	1990	"Special Purpose Vehicle 2WD"	"Automatic 4-spd"	"Rear-Wheel Drive"	4	2.4	"Regular"	19	17
"18"	7352	"Toyota"	"4Runner 2WD"	1990	"Special Purpose Vehicle 2WD"	"Automatic 4-spd"	"Rear-Wheel Drive"	6	3	"Regular"	19	15
"19"	8466	"Toyota"	"4Runner 2WD"	1991	"Special Purpose Vehicles"	"Automatic 4-spd"	"Rear-Wheel Drive"	4	2.4	"Regular"	19	17
"20"	8467	"Toyota"	"4Runner 2WD"	1991	"Special Purpose Vehicles"	"Automatic 4-spd"	"Rear-Wheel Drive"	6	3	"Regular"	19	15
"21"	9541	"Toyota"	"4Runner 2WD"	1992	"Special Purpose Vehicles"	"Automatic 4-spd"	"Rear-Wheel Drive"	6	3	"Regular"	19	15
"22"	10534	"Toyota"	"4Runner 2WD"	1993	"Special Purpose Vehicles"	"Automatic 4-spd"	"Rear-Wheel Drive"	6	3	"Regular"	19	15
"23"	11495	"Toyota"	"4Runner 2WD"	1994	"Special Purpose Vehicles"	"Automatic 4-spd"	"Rear-Wheel Drive"	6	3	"Regular"	19	15
"24"	12444	"Toyota"	"4Runner 2WD"	1995	"Special Purpose Vehicles"	"Automatic 4-spd"	"Rear-Wheel Drive"	6	3	"Regular"	19	15
"25"	13187	"Toyota"	"4Runner 2WD"	1996	"Special Purpose Vehicles"	"Automatic 4-spd"	"Rear-Wheel Drive"	4	2.7	"Regular"	22	18
"26"	13188	"Toyota"	"4Runner 2WD"	1996	"Special Purpose Vehicles"	"Manual 5-spd"	"Rear-Wheel Drive"	4	2.7	"Regular"	23	18
"27"	13189	"Toyota"	"4Runner 2WD"	1996	"Special Purpose Vehicles"	"Automatic 4-spd"	"Rear-Wheel Drive"	6	3.4	"Regular"	20	16
"28"	13916	"Toyota"	"4Runner 2WD"	1997	"Special Purpose Vehicles"	"Automatic 4-spd"	"Rear-Wheel Drive"	4	2.7	"Regular"	22	18
"29"	13917	"Toyota"	"4Runner 2WD"	1997	"Special Purpose Vehicles"	"Manual 5-spd"	"Rear-Wheel Drive"	4	2.7	"Regular"	22	17
"30"	13918	"Toyota"	"4Runner 2WD"	1997	"Special Purpose Vehicles"	"Automatic 4-spd"	"Rear-Wheel Drive"	6	3.4	"Regular"	19	15
"31"	14697	"Toyota"	"4Runner 2WD"	1998	"Special Purpose Vehicle 2WD"	"Automatic 4-spd"	"Rear-Wheel Drive"	4	2.7	"Regular"	22	18
"32"	14698	"Toyota"	"4Runner 2WD"	1998	"Special Purpose Vehicle 2WD"	"Manual 5-spd"	"Rear-Wheel Drive"	4	2.7	"Regular"	22	17
"33"	14699	"Toyota"	"4Runner 2WD"	1998	"Special Purpose Vehicle 2WD"	"Automatic 4-spd"	"Rear-Wheel Drive"	6	3.4	"Regular"	19	16
"34"	15498	"Toyota"	"4Runner 2WD"	1999	"Sport Utility Vehicle - 2WD"	"Automatic 4-spd"	"Rear-Wheel Drive"	4	2.7	"Regular"	22	18
"35"	15499	"Toyota"	"4Runner 2WD"	1999	"Sport Utility Vehicle - 2WD"	"Manual 5-spd"	"Rear-Wheel Drive"	4	2.7	"Regular"	21	16
"36"	15500	"Toyota"	"4Runner 2WD"	1999	"Sport Utility Vehicle - 2WD"	"Automatic 4-spd"	"Rear-Wheel Drive"	6	3.4	"Regular"	19	16
"37"	16306	"Toyota"	"4Runner 2WD"	2000	"Sport Utility Vehicle - 2WD"	"Automatic 4-spd"	"Rear-Wheel Drive"	4	2.7	"Regular"	22	17
